State,Year,ConsumptionType,ConsumptionValue
Arizona,2005,Consumption.Commercial.Geothermal,56
Arizona,2006,Consumption.Commercial.Geothermal,52
Arizona,2007,Consumption.Commercial.Geothermal,48
Arizona,2008,Consumption.Commercial.Geothermal,40
Arizona,2009,Consumption.Commercial.Geothermal,42
Arizona,2010,Consumption.Commercial.Geothermal,42
Arizona,2011,Consumption.Commercial.Geothermal,50
Arizona,2012,Consumption.Commercial.Geothermal,48
Arizona,2013,Consumption.Commercial.Geothermal,48
Arizona,2014,Consumption.Commercial.Geothermal,48
Arizona,2015,Consumption.Commercial.Geothermal,48
Arizona,2016,Consumption.Commercial.Geothermal,48
Arizona,2017,Consumption.Commercial.Geothermal,48
Arizona,2018,Consumption.Commercial.Geothermal,48
Arizona,2019,Consumption.Commercial.Geothermal,48
California,1960,Consumption.Commercial.Geothermal,0
California,1961,Consumption.Commercial.Geothermal,0
California,1962,Consumption.Commercial.Geothermal,0
California,1963,Consumption.Commercial.Geothermal,0
California,1964,Consumption.Commercial.Geothermal,0
California,1965,Consumption.Commercial.Geothermal,0
California,1966,Consumption.Commercial.Geothermal,0
California,1967,Consumption.Commercial.Geothermal,0
California,1968,Consumption.Commercial.Geothermal,0
California,1969,Consumption.Commercial.Geothermal,0
California,1970,Consumption.Commercial.Geothermal,0
California,1971,Consumption.Commercial.Geothermal,0
California,1972,Consumption.Commercial.Geothermal,0
California,1973,Consumption.Commercial.Geothermal,0
California,1974,Consumption.Commercial.Geothermal,0
California,1975,Consumption.Commercial.Geothermal,0
California,1976,Consumption.Commercial.Geothermal,0
California,1977,Consumption.Commercial.Geothermal,0
California,1978,Consumption.Commercial.Geothermal,0
California,1979,Consumption.Commercial.Geothermal,0
California,1980,Consumption.Commercial.Geothermal,0
California,1981,Consumption.Commercial.Geothermal,0
California,1982,Consumption.Commercial.Geothermal,0
California,1983,Consumption.Commercial.Geothermal,0
California,1984,Consumption.Commercial.Geothermal,0
California,1985,Consumption.Commercial.Geothermal,0
California,1986,Consumption.Commercial.Geothermal,0
California,1987,Consumption.Commercial.Geothermal,0
California,1988,Consumption.Commercial.Geothermal,0
California,1989,Consumption.Commercial.Geothermal,308
California,1990,Consumption.Commercial.Geothermal,321
California,1991,Consumption.Commercial.Geothermal,328
California,1992,Consumption.Commercial.Geothermal,336
California,1993,Consumption.Commercial.Geothermal,339
California,1994,Consumption.Commercial.Geothermal,349
California,1995,Consumption.Commercial.Geothermal,387
